reaction,kcat_per_s,best_gene,best_substrate,n_substrates
R01231__cyto,3.3596,XP_025337327.1,C00064,2
R04391__cyto,4.5637,XP_025335695.1,C04079,1
R06740__cyto,22.232,XP_025338172.1,C01672,2
R00962__cyto,47.2381,XP_025335695.1,C00475,4
R07489__cyto,1.5925,XP_025337439.1,C01753,2
R00187__cyto,5.4956,XP_025336044.1,C06197,4
R01013__mito,29.5533,XP_025337846.1,C00111,11
R03024__cyto,0.0706,XP_025339461.1,C03360,2
R01890__cyto,3.1527,XP_025339452.1,C00588,2
R00801__cyto,7.9929,XP_025337984.1,C00089,1
R00245__cyto,6.3626,XP_025339420.1,C01165,1
R01011__cyto,7.2162,XP_025336550.1,C00184,1
R04171__cyto,2.032,XP_025334471.1,C03227,2
R06520__cyto,0.5556,XP_025335051.1,C01120,1
R00235__cyto,21.296,XP_025339149.1,C00033,2
R00940__mito,39.9863,XP_025334912.1,C00101,1
R01512__cyto,62.1047,XP_025338354.1,C00197,1
R07477__cyto,2.8128,XP_025338507.1,C00315,1
R02236__cyto,82.5707,XP_025334912.1,C00415,1
R05066__cyto,1.1335,XP_025338697.1,C06001,4
R00256__mito,20.2414,XP_025337064.1,C00064,2
R03534__mito,5.7616,XP_025339396.1,C02630,1
R06517__cyto,15.7372,XP_025339299.1,C00836,2
R02472__cyto,20.1888,XP_025334843.1,C00522,3
R03239__cyto,11.8962,XP_025336737.1,C01097,4
R06927__cyto,57.8171,XP_025334696.1,C02909,4
R10711__cyto,64.4279,XP_025335555.1,C20784,25
R00197__cyto,46.9079,XP_025334641.1,C00256,2
R04173__cyto,92.4451,XP_025338970.1,C01005,2
R01325__pero,75.2874,XP_025338209.1,C00158,3
R00814__cyto,748.4212,XP_025335363.1,C04221,2
R02100__cyto,84.9017,XP_025336054.1,C00460,1
R08770__mito,3.7781,XP_025336462.1,C03885,1
R02088__cyto,47.0845,XP_025338134.1,C00360,2
R00709__mito,10.108,XP_025339287.1,C00311,2
R00945__mito,5.1234,XP_025337057.1,C00143,4
R10783__cyto,154.1017,XP_025334696.1,C16310,8
R04558__mito,27.1393,XP_025337865.1,C00025,3
R09511__cyto,56.459,XP_025337487.1,C00026,10
R00214__cyto,17.3556,XP_025337297.1,C00149,1
R07215__cyto,3.2911,XP_025334820.1,C01189,1
R05640__cyto,2.5075,XP_025336625.1,C01724,1
R11097__cyto,1.3518,XP_025337439.1,C21106,2
R07105__cyto,47.7084,XP_025334696.1,C06899,4
R01969__cyto,0.2547,XP_025336292.1,C00330,1
R00497__cyto,5.2601,XP_025335395.1,C00669,2
R01392__pero,89.8702,XP_025338347.1,C00258,4
R02920__cyto,0.4299,XP_025338566.1,C00788,1
R01402__cyto,29.1462,XP_025338192.1,C00170,1
R08280__cyto,37.6148,XP_025336358.1,C00051,4
R04457__cyto,47.0678,XP_025339222.1,C15556,2
R04998__cyto,24.5286,XP_025338174.1,C05839,3
R08280__mito,37.6148,XP_025336358.1,C00051,4
R00996__cyto,40.5338,XP_025335638.1,C00188,3
R07400__cyto,82.0118,XP_025335900.1,C00916,3
R01018__cyto,0.6898,XP_025336885.1,C00381,2
R02282__cyto,204.0197,XP_025335884.1,C00437,2
R11896__cyto,68.0915,XP_025336054.1,C21751,1
R00835__cyto,14.0665,XP_025334378.1,C00092,1
R02971__cyto,65.3469,XP_025335695.1,C00831,1
R05691__cyto,14.5967,XP_025338347.1,C08825,4
R04558__cyto,27.1393,XP_025337865.1,C00025,3
R07100__cyto,37.6148,XP_025336358.1,C00051,4
R04321__cyto,121.4378,XP_025336014.1,C00307,1
R02472__mito,20.1888,XP_025334843.1,C00522,3
R03665__cyto,5.7672,XP_025338675.1,C00183,1
R07456__cyto,39.123,XP_025335625.1,C00118,6
R02493__cyto,0.2087,XP_025337191.1,C00534,2
R06863__cyto,0.1008,XP_025334697.1,C00068,2
R00214__mito,17.3556,XP_025337297.1,C00149,1
R11861__mito,5.6667,XP_025334611.1,C00051,1
R00725__cyto,39.152,XP_025335695.1,C00081,8
R04300__cyto,51.1172,XP_025338172.1,C03758,2
R00256__cyto,20.2414,XP_025337064.1,C00064,2
R00755__cyto,8.7461,XP_025337651.1,C05125,3
R00066__cyto,55.9637,XP_025336656.1,C04332,1
R09832__cyto,1.9344,XP_025336044.1,C19967,5
R02142__cyto,0.2707,XP_025338992.1,C00385,2
R00945__cyto,5.1234,XP_025337057.1,C00143,4
R06364__cyto,108.7261,XP_025336014.1,C00570,1
R00479__pero,7.8792,XP_025339159.1,C00311,1
R01648__cyto,5.2826,XP_025334557.1,C00026,4
R07316__cyto,70.6533,XP_025338209.1,C01563,6
R04427__cyto,0.2749,XP_025337158.1,C05437,1
R01868__cyto,36.393,XP_025338603.1,C00337,2
R05551__cyto,6.5302,XP_025335694.1,C01659,2
R11765__mito,41.3472,XP_025334912.1,C00272,1
R00713__cyto,4.704,XP_025338598.1,C00232,2
R10057__cyto,2.705,XP_025336844.1,C04530,1
R03269__cyto,0.5341,XP_025334585.1,C04352,2
R02878__cyto,71.442,XP_025334696.1,C00756,8
R07481__cyto,1.2861,XP_025337158.1,C01902,1
R02135__cyto,210.2831,XP_025336664.1,C01081,2
R00987__cyto,2.0721,XP_025335432.1,C00328,1
R01039__cyto,79.5115,XP_025338347.1,C00116,4
R09372__cyto,1.5606,XP_025336285.1,C18902,1
R07092__cyto,37.6148,XP_025336358.1,C00051,4
R02294__cyto,9.8922,XP_025336292.1,C03150,1
R09220__cyto,14.2776,XP_025337424.1,C18309,1
R00010__cyto,31.4972,XP_025337673.1,C01083,2
R01639__cyto,2.759,XP_025339005.1,C00310,1
R10052__cyto,3.8476,XP_025335475.1,C04411,1
R11034__cyto,80.9566,XP_025338209.1,C11930,3
R01373__cyto,181.2312,XP_025338209.1,C00254,3
R00670__cyto,8.9649,XP_025336757.1,C00077,1
R11861__cyto,5.6667,XP_025334611.1,C00051,1
R00277__cyto,0.6648,XP_025335739.1,C00647,2
R05329__cyto,2.8128,XP_025338507.1,C00315,1
R00549__cyto,70.5149,XP_025335695.1,C00255,1
R02923__pero,57.8253,XP_025335900.1,C00792,3
R08548__cyto,0.9442,XP_025337921.1,C01094,5
R01870__cyto,2.8213,XP_025338263.1,C01103,1
R03051__mito,2.1947,XP_025334545.1,C00900,1
R00996__mito,40.5338,XP_025335638.1,C00188,3
R02058__cyto,44.3624,XP_025337147.1,C00352,2
R05734__cyto,2.9833,XP_025336844.1,C11509,1
R05070__mito,1.0939,XP_025335663.1,C06007,1
R05286__cyto,1.4882,XP_025336016.1,C06754,2
R07362__cyto,18.2145,XP_025337693.1,C00525,2
R01529__cyto,609.823,XP_025334949.1,C00199,1
R01039__mito,79.5115,XP_025338347.1,C00116,4
R01526__cyto,4.7338,XP_025335046.1,C00309,1
R00221__cyto,0.3468,XP_025338554.1,C00740,1
R07025__cyto,37.6148,XP_025336358.1,C00051,4
R00767__cyto,50.405,XP_025335695.1,C00063,6
R07899__cyto,0.834,XP_025336658.1,C00024,2
R04972__cyto,4.9317,XP_025336677.1,C05766,1
R01964__cyto,54.8566,XP_025335695.1,C00329,8
R10994__cyto,6.6458,XP_025335395.1,C21015,2
R00052__cyto,240.4561,XP_025336863.1,C00027,2
R02557__cyto,10.914,XP_025336292.1,C00559,1
R03222__cyto,0.4479,XP_025336807.1,C01079,1
R12403__cyto,0.4594,XP_025336844.1,C05103,1
R00006__mito,3.2966,XP_025338499.1,C00900,2
R01863__cyto,13.7667,XP_025336292.1,C00294,1
R01177__pero,20.3426,XP_025334812.1,C00024,4
R02887__cyto,25.6985,XP_025338174.1,C01898,3
R03220__cyto,0.3293,XP_025336349.1,C03263,1
R11674__pero,76.2518,XP_025335363.1,C21175,2
R00551__cyto,2.5187,XP_025339339.1,C00062,1
R00830__mito,0.4077,XP_025338378.1,C00091,2
R02236__mito,82.5707,XP_025334912.1,C00415,1
R03319__cyto,12.5062,XP_025337550.1,C01171,2
R03990__cyto,16.535,XP_025338245.1,C02593,3
R05615__cyto,0.6569,XP_025334513.1,C00156,2
R00709__cyto,10.108,XP_025339287.1,C00311,2
R07083__cyto,37.6148,XP_025336358.1,C00051,4
R00936__mito,39.9863,XP_025334912.1,C00101,1
R03660__cyto,82.1058,XP_025336364.1,C00079,3
R03869__cyto,1.4882,XP_025336016.1,C06002,2
R02894__cyto,196.1124,XP_025335900.1,C00763,3
R02291__cyto,5.1735,XP_025334725.1,C03082,1
R03330__cyto,6.9345,XP_025337899.1,C04062,5
R12405__cyto,1.6838,XP_025338347.1,C22136,4
R00771__cyto,3.755,XP_025334866.1,C00092,1
R07034__cyto,131.4439,XP_025334547.1,C05356,4
R00842__mito,4.0064,XP_025334763.1,C00111,2
R01004__cyto,54.6797,XP_025335003.1,C00621,1
R00678__cyto,8.3967,XP_025337759.1,C00078,1
R01057__cyto,14.5792,XP_025337550.1,C00620,2
R04509__cyto,0.2731,XP_025339337.1,C04556,1
R00465__pero,128.7525,XP_025338347.1,C00048,4
R02412__cyto,7.8635,XP_025336072.1,C00493,1
R02508__cyto,7.5946,XP_025339025.1,C00542,2
R01135__cyto,3.7669,XP_025339288.1,C00130,2
R04035__cyto,0.8134,XP_025334566.1,C02739,1
R02543__cyto,7.5355,XP_025337043.1,C03640,7
R07460__mito,3.302,XP_025335474.1,C00097,1
R03656__cyto,1.9325,XP_025338144.1,C00407,2
R02985__cyto,19.875,XP_025338174.1,C00031,6
R04209__cyto,5.8315,XP_025334448.1,C04751,1
R00847__mito,13.2204,XP_025339358.1,C00116,1
R09030__cyto,30.337,XP_025335506.1,C02962,1
R01130__cyto,6.8508,XP_025335607.1,C00130,1
R00289__cyto,3.1988,XP_025336030.1,C00103,1
R00659__cyto,51.748,XP_025335695.1,C00022,2
R02527__cyto,30.0374,XP_025338347.1,C00937,4
R00769__cyto,40.3036,XP_025335695.1,C00085,3
R01009__cyto,36.2085,XP_025337733.1,C00096,4
R02133__cyto,1.0891,XP_025339337.1,C00378,1
R01071__cyto,7.4032,XP_025337079.1,C00119,1
R01800__cyto,2.5028,XP_025337119.1,C00065,1
R07149__cyto,20.3279,XP_025338347.1,C04840,5
R03658__cyto,21.5676,XP_025335844.1,C00047,2
R00694__cyto,54.8707,XP_025339021.1,C00026,6
R01961__cyto,19.3467,XP_025337633.1,C00329,3
R02964__cyto,6.5497,XP_025335736.1,C00828,3
R00009__pero,7211.3392,XP_025337395.1,C00027,1
R08632__cyto,2.2191,XP_025335518.1,C02291,1
R12356__cyto,21.3457,XP_025338245.1,C00100,3
R02090__cyto,0.2612,XP_025337565.1,C00362,1
R02245__cyto,6.6734,XP_025337324.1,C00418,1
R00842__cyto,4.0064,XP_025334763.1,C00111,2
R01221__cyto,21.0991,XP_025335031.1,C00101,8
R01073__cyto,0.1775,XP_025337772.1,C00119,2
R05764__cyto,431.6392,XP_025337604.1,C02341,2
R05048__cyto,2.1585,XP_025339437.1,C05923,1
R12400__cyto,17.3589,XP_025335695.1,C22122,2
R03283__cyto,48.2335,XP_025338982.1,C01149,2
R04072__cyto,28.6276,XP_025336401.1,C03862,5
R05800__cyto,64.538,XP_025335695.1,C01245,1
R12121__cyto,4.0149,XP_025336625.1,C21921,1
R01411__cyto,1.1347,XP_025337206.1,C02376,1
R04440__mito,3.0685,XP_025334545.1,C04272,1
R00893__cyto,70.3927,XP_025334780.1,C00097,1
R01682__cyto,28.8242,XP_025338709.1,C00506,2
R10039__cyto,14.8766,XP_025338174.1,C08334,3
R01221__mito,21.0991,XP_025335031.1,C00101,8
R01978__cyto,3.9558,XP_025337941.1,C00332,2
R06861__cyto,0.1124,XP_025334697.1,C00231,2
R01132__cyto,1.659,XP_025338992.1,C00262,2
R07004__cyto,37.6148,XP_025336358.1,C00051,4
R01055__mito,12.2365,XP_025336996.1,C00117,2
R03035__cyto,46.3512,XP_025337794.1,C01134,1
R01771__cyto,5.4286,XP_025336624.1,C00263,1
R05577__cyto,10.0992,XP_025336037.1,C00049,2
R07759__cyto,126.2895,XP_025338347.1,C16216,4
R04929__cyto,2.3113,XP_025337441.1,C05697,1
R02540__cyto,42.3183,XP_025335694.1,C02505,2
R03920__cyto,11.6887,XP_025337633.1,C02336,3
R00517__cyto,12.2557,XP_025338221.1,C00475,1
R00084__cyto,1.8875,XP_025334821.1,C00931,1
R00036__cyto,1.089,XP_025339365.1,C00430,1
R01618__cyto,10.4951,XP_025336608.1,C00224,1
R02097__cyto,32.5352,XP_025335695.1,C00299,2
R01776__cyto,72.3483,XP_025338100.1,C00024,4
R03347__cyto,69.384,XP_025337291.1,C01185,1
R02371__cyto,47.2381,XP_025335695.1,C00475,4
R03237__cyto,14.4689,XP_025336737.1,C00063,4
R00238__cyto,20.3426,XP_025334812.1,C00024,2
R05799__cyto,15.3492,XP_025336478.1,C01204,1
R01001__cyto,2.2191,XP_025335518.1,C02291,1
R00348__cyto,10.6087,XP_025338426.1,C02362,1
R00908__cyto,5.2826,XP_025334557.1,C00026,4
R02156__cyto,0.1746,XP_025337693.1,C00389,2
R01229__cyto,0.0921,XP_025338992.1,C00119,2
R10845__cyto,3.8626,XP_025338163.1,C20895,2
R00253__cyto,16.9855,XP_025334396.1,C00025,1
R03990__pero,16.535,XP_025338245.1,C02593,3
R01819__cyto,22.7094,XP_025337471.1,C00275,1
R04881__cyto,0.2616,XP_025338566.1,C05576,1
R00970__cyto,39.152,XP_025335695.1,C00081,4
R03236__cyto,11.8962,XP_025336737.1,C01097,2
R03083__cyto,5.594,XP_025336072.1,C04691,1
R04944__cyto,14.9787,XP_025339025.1,C05702,2
R02092__cyto,16.265,XP_025334967.1,C00363,2
R07168__cyto,9.8634,XP_025334825.1,C00440,2
R03194__cyto,6.1795,XP_025337598.1,C01051,1
R04928__cyto,28.5484,XP_025335695.1,C05686,1
R11100__pero,0.7875,XP_025335638.1,C02218,2
R04880__cyto,23.5233,XP_025334696.1,C05576,4
R00734__cyto,54.8707,XP_025339021.1,C00026,6
R04990__cyto,71.3527,XP_025336496.1,C05813,13
R04770__cyto,1.4882,XP_025335518.1,C05335,1
R08095__cyto,9.2911,XP_025337043.1,C16471,8
R03067__cyto,13.7825,XP_025336512.1,C04807,2
R04502__cyto,61.7465,XP_025335555.1,C04537,52
R03628__cyto,7.6187,XP_025337759.1,C01598,1
R01830__cyto,1.3236,XP_025334697.1,C00118,2
R00776__pero,7.1201,XP_025335410.1,C00603,1
R00251__cyto,25.2099,XP_025336774.1,C01879,1
R05590__cyto,1.9278,XP_025335683.1,C09815,2
R04445__mito,4.6501,XP_025339420.1,C04281,1
R09844__cyto,0.5553,XP_025335406.1,C00448,2
R01388__cyto,89.8702,XP_025338347.1,C00258,4
R03459__cyto,120.3018,XP_025337858.1,C01304,1
R01664__cyto,92.5793,XP_025338134.1,C00239,2
R04494__cyto,70.3937,XP_025335555.1,C00043,52
R03457__cyto,91.5924,XP_025338209.1,C04666,3
R00519__cyto,1.6794,XP_025338552.1,C00058,1
R00190__cyto,0.0231,XP_025337854.1,C00147,2
R00530__cyto,9.1615,XP_025336608.1,C00059,1
R00959__cyto,12.5062,XP_025337550.1,C00103,2
R00516__cyto,47.2381,XP_025335695.1,C00475,2
R03899__cyto,0.4988,XP_025337949.1,C02567,1
R00691__cyto,97.3634,XP_025338209.1,C00826,3
R02529__cyto,20.9738,XP_025338172.1,C01888,2
R00200__cyto,16.8793,XP_025334713.1,C00074,1
R02484__cyto,10.5355,XP_025336292.1,C00526,2
R07495__cyto,0.9716,XP_025338697.1,C15816,4
R07168__mito,9.8634,XP_025334825.1,C00440,2
R04773__cyto,1.7334,XP_025339439.1,C05335,2
R01226__cyto,3.0074,XP_025338435.1,C00141,2
R07002__cyto,37.6148,XP_025336358.1,C00051,4
R09736__mito,4.4452,XP_025334712.1,C19847,1
R00627__cyto,4.9673,XP_025336146.1,C00024,4
R11337__cyto,16.0284,XP_025338347.1,C01087,5
R02095__cyto,16.2601,XP_025334967.1,C00459,2
R02102__cyto,49.815,XP_025338134.1,C00365,2
R00192__cyto,2.1513,XP_025339385.1,C00021,1
R02918__cyto,12.5093,XP_025338293.1,C00082,2
R00310__mito,0.8014,XP_025336331.1,C14818,2
R00847__cyto,13.2204,XP_025339358.1,C00116,1
R02457__pero,92.8949,XP_025335900.1,C00515,3
R01497__cyto,30.1887,XP_025335667.1,C00029,1
R03012__cyto,4.0525,XP_025334566.1,C00860,1
R03858__cyto,0.834,XP_025336658.1,C00024,2
R07094__cyto,37.6148,XP_025336358.1,C00051,4
R11893__mito,56.7793,XP_025336772.1,C21750,2
R03038__cyto,2.1229,XP_025336313.1,C00041,1
R02732__mito,0.6593,XP_025336555.1,C05345,1
R01214__mito,106.7022,XP_025337526.1,C00026,2
R04556__cyto,50.106,XP_025335363.1,C04671,2
R02737__cyto,1.8935,XP_025338203.1,C00029,4
R08558__cyto,559.038,XP_025334696.1,C00114,8
R03971__cyto,20.2413,XP_025339510.1,C00025,2
R10920__cyto,56.459,XP_025337487.1,C00026,20
R07888__pero,15.0938,XP_025338245.1,C16327,3
R11323__cyto,3.4023,XP_025335823.1,C00459,4
R03443__cyto,14.297,XP_025337400.1,C04133,1
R02678__cyto,18.7875,XP_025338982.1,C00637,2
R02868__cyto,24.1001,XP_025335695.1,C00794,4
R04441__cyto,1.0557,XP_025335663.1,C04272,1
R08769__mito,79.6593,XP_025336496.1,C17551,12
R10088__cyto,39.123,XP_025335625.1,C00118,4
R01286__cyto,22.9842,XP_025338161.1,C02291,1
R07035__cyto,132.518,XP_025334547.1,C05966,4
R03004__cyto,0.3592,XP_025336258.1,C00857,1
R05085__cyto,20.7496,XP_025338970.1,C00026,2
R03663__cyto,0.7221,XP_025338634.1,C00188,2
R08240__cyto,5.0572,XP_025335607.1,C04646,1
R01280__pero,3.0272,XP_025338621.1,C00249,1
R01214__cyto,106.7022,XP_025337526.1,C00026,2
R02957__cyto,37.9056,XP_025338982.1,C02670,2
R01801__mito,76.1987,XP_025336014.1,C00093,1
R03451__cyto,12.9545,XP_025334871.1,C03793,2
R09881__cyto,3.8822,XP_025336044.1,C20190,4
R01126__cyto,62.5347,XP_025338134.1,C00130,2
R00943__cyto,17.3311,XP_025336961.1,C00101,4
R07758__cyto,1.2401,XP_025335217.1,C00154,4
R09409__cyto,37.6148,XP_025336358.1,C00051,4
R01624__cyto,4.1444,XP_025336476.1,C00024,1
R01654__cyto,6.6474,XP_025334806.1,C00025,2
R04125__cyto,8.4658,XP_025336269.1,C00101,1
R00259__cyto,106.0796,XP_025335884.1,C00024,2
R08237__cyto,0.1558,XP_025338992.1,C02380,4
R01163__cyto,3.4237,XP_025334566.1,C01929,1
R02335__cyto,15.5227,XP_025337870.1,C00043,4
R03942__cyto,2.1362,XP_025339537.1,C02431,1
R00508__cyto,8.4902,XP_025338294.1,C00053,1
R09222__cyto,4.979,XP_025337424.1,C18304,1
R01244__cyto,48.9728,XP_025336915.1,C00147,1
R08245__cyto,0.1831,XP_025338992.1,C07648,4
R01933__cyto,42.422,XP_025335031.1,C00322,2
R04433__mito,9.1527,XP_025335340.1,C01967,1
R06171__cyto,0.3185,XP_025336015.1,C05519,2
R00321__cyto,10.432,XP_025335694.1,C06244,5
R00512__cyto,19.5158,XP_025335650.1,C00055,1
R00258__mito,0.0439,XP_025338220.1,C00026,2
R03950__cyto,14.1337,XP_025336496.1,C02469,13
R00760__cyto,11.6887,XP_025337633.1,C00095,3
R02327__cyto,45.4937,XP_025335695.1,C00458,4
R02466__cyto,4.3703,XP_025338709.1,C00606,2
R11957__cyto,8.9806,XP_025337043.1,C00469,14
R11679__cyto,0.3257,XP_025339067.1,C00956,1
R01184__cyto,10.3103,XP_025338955.1,C00137,1
R04247__cyto,0.0939,XP_025338714.1,C03557,2
R12402__cyto,28.5756,XP_025338347.1,C02945,4
R01185__cyto,5.579,XP_025337899.1,C01177,5
R08549__mito,50.9876,XP_025335031.1,C00026,3
R04463__cyto,8.5471,XP_025336023.1,C04376,2
R01248__cyto,30.4073,XP_025334601.1,C00148,1
R00174__cyto,32.9771,XP_025337191.1,C00250,2
R03199__cyto,10.9434,XP_025336542.1,C01054,1
R02057__cyto,108.7261,XP_025336014.1,C00570,1
R01528__cyto,54.267,XP_025337440.1,C00345,1
R04903__cyto,16.0787,XP_025338982.1,C05634,2
R08178__cyto,4.2002,XP_025338477.1,C16162,2
R00512__mito,19.5158,XP_025335650.1,C00055,1
R04184__cyto,16.1516,XP_025337173.1,C01132,3
R00829__cyto,8.8511,XP_025337043.1,C00091,16
R03503__cyto,10.0214,XP_025336512.1,C01300,1
R05238__cyto,5.9963,XP_025338982.1,C16348,2
R00220__cyto,17.9066,XP_025335638.1,C00065,3
R04747__cyto,0.834,XP_025336658.1,C00024,2
R08549__cyto,50.9876,XP_025335031.1,C00026,3
R01802__cyto,26.0025,XP_025336014.1,C00137,1
R03223__cyto,1.0545,XP_025336392.1,C04327,2
R07069__cyto,37.6148,XP_025336358.1,C00051,4
R03321__cyto,3.755,XP_025334866.1,C01172,1
R06223__cyto,0.0407,XP_025335972.1,C00448,1
R00224__cyto,11.4864,XP_025337651.1,C00022,4
R03662__cyto,2.889,XP_025336894.1,C00065,2
R00161__cyto,31.0729,XP_025338755.1,C00061,1
R05237__cyto,5.9963,XP_025338982.1,C06613,2
R12401__cyto,3.7129,XP_025338347.1,C22123,4
R06917__cyto,84.9839,XP_025334696.1,C14089,4
R04754__cyto,17.4014,XP_025338245.1,C05274,3
R00220__mito,17.9066,XP_025335638.1,C00065,3
R03857__pero,16.9408,XP_025338245.1,C01832,3
R00942__cyto,6.6474,XP_025334806.1,C00025,2
R01251__cyto,13.4521,XP_025334601.1,C03912,1
R00267__mito,6.7123,XP_025338902.1,C00311,2
R04742__cyto,0.834,XP_025336658.1,C00024,2
R02521__cyto,2.3544,XP_025337317.1,C01179,1
R07023__cyto,37.6148,XP_025336358.1,C00051,4
R11043__cyto,1.6219,XP_025335969.1,C00510,2
R01430__cyto,81.2797,XP_025338347.1,C00181,4
R10991__cyto,106.7022,XP_025337526.1,C00026,2
R00986__cyto,32.1158,XP_025337896.1,C00064,4
R02740__cyto,3.755,XP_025334866.1,C00668,1
R01909__cyto,10.1342,XP_025337191.1,C00314,2
R08557__cyto,559.038,XP_025334696.1,C00114,8
R04027__cyto,19.8539,XP_025338172.1,C02723,2
R01090__cyto,106.7022,XP_025337526.1,C00026,2
R12406__cyto,18.8148,XP_025338347.1,C22111,5
R02300__cyto,8.377,XP_025336269.1,C03479,1
R00267__cyto,6.7123,XP_025338902.1,C00311,2
R03816__cyto,3.7284,XP_025335736.1,C02059,3
R08231__cyto,1.6173,XP_025338263.1,C07649,4
R07026__cyto,37.6148,XP_025336358.1,C00051,4
R02021__cyto,74.2634,XP_025337131.1,C00053,1
R08557__mito,559.038,XP_025334696.1,C00114,8
R00765__cyto,18.3217,XP_025337832.1,C00352,1
R00985__cyto,5.9657,XP_025337896.1,C00251,2
R06983__cyto,7.4115,XP_025338626.1,C14180,1
R01468__cyto,6.0794,XP_025337222.1,C00189,1
R05779__mito,159.3428,XP_025337620.1,C11526,5
R08232__cyto,6.822,XP_025338221.1,C16633,1
R08558__mito,559.038,XP_025334696.1,C00114,8
R05731__cyto,1.0294,XP_025336625.1,C01943,1
R00268__cyto,9.3632,XP_025338902.1,C05379,2
R02732__cyto,0.6593,XP_025336555.1,C05345,1
R05233__cyto,60.5299,XP_025334696.1,C06611,4
R05511__cyto,48.1623,XP_025337424.1,C04706,1
R10993__cyto,10.4843,XP_025338126.1,C00025,2
R02237__mito,12.2222,XP_025334806.1,C00921,2
R01280__cyto,3.0272,XP_025338621.1,C00249,1
R01968__cyto,14.3728,XP_025338134.1,C00362,2
R05086__cyto,4.2141,XP_025335870.1,C06055,1
R00137__cyto,69.4397,XP_025336069.1,C00455,2
R03005__cyto,79.5499,XP_025337140.1,C01185,2
R03664__cyto,2.3232,XP_025336290.1,C00078,2
R02613__cyto,101.6142,XP_025338172.1,C05332,2
R01218__cyto,12.8448,XP_025339280.1,C00143,1
R01872__cyto,1.5867,XP_025338423.1,C00296,1
R02082__cyto,12.3568,XP_025339024.1,C00356,1
R04405__cyto,0.9737,XP_025336857.1,C04489,2
R04780__cyto,0.257,XP_025337001.1,C05378,1
R10685__cyto,2.7546,XP_025338973.1,C00037,1
R02867__cyto,39.152,XP_025335695.1,C00081,8
R01213__mito,3.6571,XP_025336458.1,C00024,2
R08176__cyto,4.5477,XP_025338477.1,C00510,2
R07937__cyto,1.4786,XP_025336658.1,C16169,2
R04563__cyto,0.6444,XP_025334512.1,C00120,1
R02736__cyto,14.0665,XP_025334378.1,C01172,1
R00268__mito,9.3632,XP_025338902.1,C05379,2
R01714__cyto,10.443,XP_025335297.1,C01269,1
R08512__cyto,37.6148,XP_025336358.1,C00051,3
R02237__cyto,12.2222,XP_025334806.1,C00921,2
R01934__cyto,0.1296,XP_025337728.1,C05662,1
R00416__cyto,6.8813,XP_025339357.1,C04501,1
R02457__cyto,92.8949,XP_025335900.1,C00515,3
R00485__cyto,1.175,XP_025338622.1,C00152,1
R05861__cyto,123.9604,XP_025335900.1,C00133,3
R00132__cyto,73974.568,XP_025336840.1,C01353,1
R00946__cyto,102.1709,XP_025336496.1,C00440,24
R01287__cyto,65.8572,XP_025334605.1,C00283,2
R01470__cyto,12.2127,XP_025339340.1,C01233,1
R10712__cyto,0.5053,XP_025336392.1,C20247,2
R00130__cyto,178.2289,XP_025334844.1,C00882,1
R03635__cyto,8.2018,XP_025337984.1,C01613,1
R02144__cyto,3.9062,XP_025335587.1,C00386,1
R00261__cyto,11.9566,XP_025338709.1,C00025,2
R00858__cyto,2.9965,XP_025336407.1,C00094,1
R00762__cyto,0.257,XP_025337001.1,C00354,1
R01569__cyto,51.8455,XP_025338134.1,C00364,2
R10463__cyto,0.3242,XP_025334893.1,C00188,2
R03444__cyto,30.6237,XP_025338209.1,C01251,1
R04711__cyto,58.8332,XP_025336496.1,C05200,12
R00885__cyto,36.3816,XP_025336999.1,C00636,2
R00226__cyto,5.917,XP_025338499.1,C00022,2
R01068__cyto,0.2463,XP_025337072.1,C00354,1
R00480__cyto,24.7319,XP_025339019.1,C00049,1
R01652__cyto,61.357,XP_025338347.1,C04236,5
R00724__cyto,51.748,XP_025335695.1,C00022,4
R01843__cyto,37.61,XP_025335695.1,C05382,3
R00483__cyto,2.6305,XP_025337486.1,C00049,2
R07093__cyto,37.6148,XP_025336358.1,C00051,4
R01845__cyto,4.9049,XP_025337001.1,C00447,6
R08238__cyto,4.1442,XP_025338992.1,C16614,4
R03139__cyto,45.8428,XP_025338172.1,C00986,2
R02332__cyto,35.4991,XP_025335695.1,C00460,4
R00667__cyto,2.8312,XP_025334609.1,C00026,2
R03504__cyto,8.8688,XP_025336512.1,C04874,1
R03857__cyto,16.9408,XP_025338245.1,C01832,3
R01655__mito,14.0193,XP_025336961.1,C00445,2
R01786__cyto,9.6714,XP_025337633.1,C00267,3
R01127__cyto,0.2009,XP_025338344.1,C00130,1
R01931__cyto,3.5155,XP_025337819.1,C00320,2
R03260__cyto,13.4669,XP_025339025.1,C01118,2
R04930__cyto,1.4882,XP_025335518.1,C05699,1
R02331__cyto,1.2097,XP_025334874.1,C01346,1
R00851__cyto,85.1891,XP_025337846.1,C00093,4
R02649__cyto,8.0448,XP_025337400.1,C00624,1
R07280__cyto,3.5241,XP_025337921.1,C04454,5
R00009__cyto,7211.3392,XP_025337395.1,C00027,1
R00668__cyto,2.8312,XP_025334609.1,C00026,2
R01067__cyto,1.3236,XP_025334697.1,C00118,2
R04751__pero,18.5369,XP_025338245.1,C05270,3
R00351__mito,74.8562,XP_025338521.1,C00036,2
R02422__cyto,916.3428,XP_025336495.1,C00499,1
R03291__cyto,13.5005,XP_025334601.1,C01157,1
